Chapter No.,Chapter Name,Section No.,Section Name,Description,Punishment
13,"Offences,Penalties and Procedure",177,General provision for punishment of offences ,Whoever contravenes any provision of this Act or of any rule regulation or notification made thereunder,"First offence: Fine which may extend to Rs. 100; Second or subsequent offence: Fine which may extend to Rs. 300"
13,"Offences,Penalties and Procedure",178(1),Penalty for travelling without pass or ticket ,Whoever travels in a stage carriage without having a proper pass or ticket with him or being in or having alighted from a stage carriage fails or refuses to present for examination or to deliver up his pass or ticket immediately on a requisition being made therefor,Fine which may extend to Rs. 500
13,"Offences,Penalties and Procedure",178(2),Dereliction of duty on part of conductor,If the conductor of a stage carriage or the driver of a stage carriage performing the functions of a conductor whose duty is to supply a ticket to a person travelling in a stage carriage on payment of fare by such person either wilfully or negligently fails or refuses to accept the fare when tendered or fails or refuses to supply a ticket or supplies an invalid ticket or supplies a ticket of a lesser value or to check any pass or ticket either wilfully or negligently fails or refuses to do so,Fine which may extend to Rs. 500
13,"Offences,Penalties and Procedure",178(3),Refusal to ply contract carriage,If the holder of a permit or the driver of a contract carriage refuses in contravention of the provisions of this Act or rules made thereunder to ply the contract carriage or to carry the passengers,"In case of two-wheeled or three-wheeled motor vehicles: Fine which may extend to Rs. 50; In any other case: Fine which may extend to Rs. 200"
13,"Offences,Penalties and Procedure",179(1),Disobedience of orders and obstruction,Whoever wilfully disobeys any direction lawfully given by any person or authority empowered under this Act to give such direction or obstructs any person or authority in the discharge of any functions which such person or authority is required or empowered under this Act to discharge shall if no other penalty is provided for the offence,Fine which may extend to Rs. 500
13,"Offences,Penalties and Procedure",179(2),Refusal of information,Whoever being required by or under this Act to supply any information wilfully withholds such information or gives information which he knows to be false or which he does not believe to be true shall if no other penalty is provided for the offence,"Imprisonment for a term which may extend to 1 month, or fine which may extend to Rs. 500, or both"
13,"Offences,Penalties and Procedure",180,Allowing unauthorised persons to drive vehicles,Whoever being the owner or person in charge of a motor vehicle causes or permits any other person who does not satisfy the provisions of Section 3 or Section 4 to drive the vehicle,"Imprisonment for a term which may extend to 3 months, or fine which may extend to Rs. 1000, or both"
13,"Offences,Penalties and Procedure",181,Driving vehicles in contravention of Section 3 or Section 4,Whoever drives a motor vehicle in contravention of Section 3 or Section 4,"Imprisonment for a term which may extend to 3 months, or fine which may extend to Rs. 500, or both"
13,"Offences,Penalties and Procedure",182(1),Offences relating to driving licences ,Whoever being disqualified under this Act for holding or obtaining a driving licence drives a motor vehicle in a public place or in any other place or applies for or obtains a driving licence or not being entitled to have a driving licence issued to him free of endorsement applies for or obtains a driving licence without disclosing the endorsement made on a driving licence previously held by him,"Imprisonment for a term which may extend to 3 months, or fine which may extend to Rs. 500, or both; Any driving licence so obtained by him shall be of no effect"
13,"Offences,Penalties and Procedure",182(2),Offences relating to conductor's licences,Whoever being disqualified under this Act for holding or obtaining a conductor's licence acts as a conductor of a stage carriage in a public place or applies for or obtains a conductor's licence or not being entitled to have a conductor's licence issued to him free of endorsement applies for or obtains a conductor's licence without disclosing the endorsements made on a conductor's licence previously held by him,"Imprisonment for a term which may extend to 1 month, or fine which may extend to Rs. 100, or both; Any conductor's licence so obtained by him shall be of no effect"
13,"Offences,Penalties and Procedure",182A,Punishment for offences relating to construction and maintenance of vehicles ,Any person who contravenes the provisions of sub-section (3) of Section 109 relating to standards notified by Central Government for construction and maintenance,Fine of Rs. 5000 for first offence; Fine of Rs. 5000 for any subsequent offence
13,"Offences,Penalties and Procedure",183(1),Driving at excessive speed ,Whoever drives a motor vehicle in contravention of the speed limits referred to in Section 112,"Fine which may extend to Rs. 400; If having been previously convicted of an offence under this sub-section is again convicted: Fine which may extend to Rs. 1000"
13,"Offences,Penalties and Procedure",183(2),Causing employee to drive at excessive speed,Whoever causes any person who is employed by him or is subject to his control in driving to drive a motor vehicle in contravention of the speed limits referred to in Section 112,"Fine which may extend to Rs. 300; If having been previously convicted of an offence under this sub-section is again convicted: Fine which may extend to Rs. 500"
13,"Offences,Penalties and Procedure",183(3),No conviction on sole evidence of one witness,No person shall be convicted of an offence punishable under sub-section (1) solely on the evidence of one witness to the effect that in the opinion of the witness such person was driving at a speed which was unlawful unless that opinion is shown to be based on an estimate obtained by the use of some mechanical device,Not applicable - This is a procedural provision
13,"Offences,Penalties and Procedure",183(4),Publication of impracticable time table,The publication of a time table under which or the giving of any direction that any journey or part of a journey is to be completed within a specified time shall if in the opinion of the Court it is not practicable in the circumstances of the case for that journey or part of a journey to be completed in the specified time without contravening the speed limits referred to in Section 112 be prima facie evidence that the person who published the time table or gave the direction has committed an offence punishable under sub-section (2),Prima facie evidence for prosecution under sub-section (2)
13,"Offences,Penalties and Procedure",184,Driving dangerously,Whoever drives a motor vehicle at a speed or in a manner which is dangerous to the public having regard to all the circumstances of case including the nature condition and use of the place where the vehicle is driven and the amount of traffic which actually is at the time or which might reasonably be expected to be in the place,"First offence: Imprisonment for a term which may extend to 6 months, or fine which may extend to Rs. 1000, or both; Second or subsequent offence if committed within 3 years of the commission of a previous similar offence: Imprisonment for a term which may extend to 2 years, or fine which may extend to Rs. 2000, or both"
13,"Offences,Penalties and Procedure",185,Driving by a drunken person or by a person under the influence of drugs,Whoever while driving or attempting to drive a motor vehicle has in his blood alcohol exceeding 30 mg per 100 ml of blood detected in a test by a breath analyser or is under the influence of a drug to such an extent as to be incapable of exercising proper control over the vehicle,"First offence: Imprisonment for a term which may extend to 6 months, or fine which may extend to Rs. 2000, or both; Second or subsequent offence if committed within 3 years of the commission of the previous similar offence: Imprisonment for a term which may extend to 2 years, or fine which may extend to Rs. 3000, or both"
13,"Offences,Penalties and Procedure",186,Driving when mentally or physically unfit to drive ,Whoever drives a motor vehicle in any public place when he is to his knowledge suffering from any disease or disability calculated to cause his driving of the vehicle to be a source of danger to the public,"First offence: Fine which may extend to Rs. 200; Second or subsequent offence: Fine which may extend to Rs. 500"
13,"Offences,Penalties and Procedure",187,Punishment for offences relating to accident,Whoever fails to comply with the provisions of clause (c) of sub-section (1) of Section 132 or Section 133 or Section 134,"Imprisonment for a term which may extend to 3 months, or fine which may extend to Rs. 500, or both; If having been previously convicted of an offence under this section he is again convicted: Imprisonment for a term which may extend to 6 months, or fine which may extend to Rs. 1000, or both"
13,"Offences,Penalties and Procedure",188,Punishment for abetment of certain offences ,Whoever abets the commission of an offence under Section 184 Section 185 or Section 186,Punishable with the punishment provided for the offence
13,"Offences,Penalties and Procedure",189,Racing and trials of speed,Whoever without the written consent of the State Government permits or takes part in a race or trial of speed of any kind between motor vehicles in any public place,"Imprisonment for a term which may extend to 6 months, or fine which may extend to Rs. 500, or both"
13,"Offences,Penalties and Procedure",190(1),Using vehicle in unsafe condition,Any person who drives or causes or allows to be driven in any public place a motor vehicle or trailer while the vehicle or trailer has any defect which such person knows of or could have discovered by the exercise of ordinary care and which is calculated to render the driving of the vehicle a source of danger to persons and vehicles using such place,"Fine which may extend to Rs. 250; If as a result of such defect an accident is caused causing bodily injury or damage to property: Imprisonment for a term which may extend to 3 months, or fine which may extend to Rs. 1000, or both"
13,"Offences,Penalties and Procedure",190(2),Violation of standards for road safety control of noise and air-pollution , Any person who drives or causes or allows to be driven in any public place a motor vehicle which violates the standards prescribed in relation to road safety control of noise and air-pollution,"First offence: Fine of Rs. 1000; Second or subsequent offence: Fine of Rs. 2000"
13,"Offences,Penalties and Procedure",190(3),Carriage of dangerous or hazardous goods,Any person who drives or causes or allows to be driven in any public place a motor vehicle which violates the provisions of this Act or the rules made thereunder relating to the carriage of goods which are of dangerous or hazardous nature to human life,"First offence: Fine which may extend to Rs. 3000, or imprisonment for a term which may extend to 1 year, or both; Second or subsequent offence: Fine which may extend to Rs. 5000, or imprisonment for a term which may extend to 3 years, or both"
13,"Offences,Penalties and Procedure",191,Sale of vehicle in or alteration of vehicle to condition contravening this Act,Whoever being an importer of or dealer in motor vehicles sells or delivers or offers to sell or deliver a motor vehicle or trailer in such condition that the use thereof in a public place would be in contravention of Chapter VII or any rule made thereunder or alters the motor vehicle or trailer so as to render its condition such that its use in a public place would be in contravention of Chapter VII or any rule made thereunder,"Fine which may extend to Rs. 500; Provided that no person shall be convicted under this section if he proves that he had reasonable cause to believe that the vehicle would not be used in a public place until it had been put into a condition in which it might lawfully be so used"
13,"Offences,Penalties and Procedure",192(1),Using vehicle without registration ,Whoever drives a motor vehicle or causes or allows a motor vehicle to be used in contravention of the provisions of Section 39,"First offence: Fine which may extend to Rs. 5000 but shall not be less than Rs. 2000; Second or subsequent offence: Imprisonment which may extend to 1 year, or fine which may extend to Rs. 10000 but shall not be less than Rs. 5000, or both; Provided that the court may for reasons to be recorded impose a lesser punishment"
13,"Offences,Penalties and Procedure",192(2),Using vehicle in emergency without registration,Nothing in this section shall apply to the use of a motor vehicle in an emergency for the conveyance of persons suffering from sickness or injuries or for the transport of food or materials to relieve distress or of medical supplies for a like purpose provided that the person using the vehicle reports about the same to the Regional Transport Authority within 7 days from the date of such use,Not applicable - This is an exception provision
13,"Offences,Penalties and Procedure",192(3),Appeal provision,The court to which an appeal lies from any conviction in respect of an offence of the nature specified in sub-section (1) may set aside or vary any order made by the court below notwithstanding that no appeal lies against the conviction in connection with which such order was made,Not applicable - This is a procedural provision
13,"Offences,Penalties and Procedure",192A(1),Using vehicle without permit , Whoever drives a motor vehicle or causes or allows a motor vehicle to be used in contravention of the provisions of sub-section (1) of Section 66 or in contravention of any condition of a permit relating to the route on which or the area in which or the purpose for which the vehicle may be used,"First offence: Fine which may extend to Rs. 5000 but shall not be less than Rs. 2000; Subsequent offence: Imprisonment which may extend to 1 year but shall not be less than 3 months, or fine which may extend to Rs. 10000 but shall not be less than Rs. 5000, or both; Provided that the court may for reasons to be recorded impose a lesser punishment"
13,"Offences,Penalties and Procedure",192A(2),Using vehicle in emergency without permit,Nothing in this section shall apply to the use of a motor vehicle in an emergency for the conveyance of persons suffering from sickness or injury or for the transport of materials for repair or for the transport of food or materials to relieve distress or of medical supplies for a like purpose provided that the person using the vehicle reports about the same to the Regional Transport Authority within 7 days from the date of such use,Not applicable - This is an exception provision
13,"Offences,Penalties and Procedure",192A(3),Appeal provision for permit offences,The court to which an appeal lies from any conviction in respect of an offence of the nature specified in sub-section (1) may set aside or vary any order made by the court below notwithstanding that no appeal lies against the conviction in connection with which such order was made,Not applicable - This is a procedural provision
13,"Offences,Penalties and Procedure",193,Punishment of agents and canvassers without proper authority, Whoever engages himself as an agent or canvasser in contravention of the provisions of Section 93 or of any rules made thereunder,"First offence: Fine which may extend to Rs. 1000; Second or subsequent offence: Imprisonment which may extend to 6 months, or fine which may extend to Rs. 2000, or both"
13,"Offences,Penalties and Procedure",194(1),Driving vehicle exceeding permissible weight,Whoever drives a motor vehicle or causes or allows a motor vehicle to be driven in contravention of the provisions of Section 113 or Section 114 or Section 115,Minimum fine of Rs. 2000 and an additional amount of Rs. 1000 per tonne of excess load together with the liability to pay charges for off-loading of the excess load
13,"Offences,Penalties and Procedure",194(2),Refusal to stop for weighing or removing load before weighing,Any driver of a vehicle who refuses to stop and submit his vehicle to weighing after being directed to do so by an officer authorised in this behalf under Section 114 or removes or causes the removal of the load or part of it prior to weighing,Fine which may extend to Rs. 3000
13,"Offences,Penalties and Procedure",195(1),Imposition of minimum fine under certain circumstances ,Whoever having been convicted of an offence under this Act or the rules made thereunder commits a similar offence on a second or subsequent occasion within 3 years of the commission of the previous offence,"No court shall except for reasons to be recorded by it in writing impose on him a fine of less than one-fourth of the maximum amount of the fine impossible for such offence"
13,"Offences,Penalties and Procedure",195(2),Power of court to award imprisonment,Nothing in sub-section (1) shall be construed as restricting the power of the court from awarding such imprisonment as it considers necessary in the circumstances of the case not exceeding the maximum specified in this Act in respect of that offence,Not applicable - This is a clarification provision
13,"Offences,Penalties and Procedure",196,Driving uninsured vehicle ,Whoever drives a motor vehicle or causes or allows a motor vehicle to be driven in contravention of the provisions of Section 146,"Imprisonment which may extend to 3 months, or fine which may extend to Rs. 1000, or both"
13,"Offences,Penalties and Procedure",197(1),Taking vehicle without authority,Whoever takes and drives away any motor vehicle without having either the consent of the owner thereof or other lawful authority,"Imprisonment which may extend to 3 months, or fine which may extend to Rs. 500, or both; Provided that no person shall be convicted under this section if the Court is satisfied that such person acted in the reasonable belief that he had lawful authority or in the reasonable belief that the owner would in the circumstances of the case have given his consent if he had been asked therefor"
13,"Offences,Penalties and Procedure",197(2),Unlawful seizure of vehicle,Whoever unlawfully by force or threat of force or by any other form of intimidation seizes or exercises control of a motor vehicle,"Imprisonment which may extend to 3 months, or fine which may extend to Rs. 500, or both"
13,"Offences,Penalties and Procedure",197(3),Attempt or abetment ,Whoever attempts to commit any of the acts referred to in sub-section (1) or sub-section (2) in relation to any motor vehicle or abets the commission of any such act shall also be deemed to have committed an offence under sub-section (1) or as the case may be sub-section (2),Same punishment as applicable to the main offence
13,"Offences,Penalties and Procedure",198,Unauthorised interference with vehicle ,Whoever otherwise than with lawful authority or reasonable excuse enters or mounts any stationary motor vehicle or tampers with the brake or any part of the mechanism of a motor vehicle,Fine which may extend to Rs. 100
13,"Offences,Penalties and Procedure",199(1),Offences by companies,Where an offence under this Act has been committed by a company every person who at the time the offence was committed was in charge of and was responsible to the company for the conduct of the business of the company as well as the company shall be deemed to be guilty of the contravention and shall be liable to be proceeded against and punished accordingly,"Liable to punishment provided in this Act; Provided that nothing in this sub-section shall render any such person liable to any punishment provided in this Act if he proves that the offence was committed without his knowledge or that he exercised all due diligence to prevent the commission of such offence"
13,"Offences,Penalties and Procedure",199(2),Offences by directors managers secretary or other officers,Where an offence under this Act has been committed by a company and it is proved that the offence was committed with the consent or connivance of or is attributable to any neglect on the part of any director manager secretary or other officer of the company such director manager secretary or other officer shall also be deemed to be guilty of that offence and shall be liable to be proceeded against and punished accordingly,Liable to be proceeded against and punished accordingly
13,"Offences,Penalties and Procedure",200(1),Composition of certain offences ,Any offence whether committed before or after the commencement of this Act punishable under Section 177 Section 178 Section 179 Section 180 Section 181 Section 182 sub-section (1) or sub-section (2) of Section 183 Section 184 Section 186 Section 189 sub-section (2) of Section 190 Section 191 Section 192 Section 194 Section 196 or Section 198 may either before or after the institution of the prosecution be compounded by such officers or authorities and for such amount as the State Government may by notification in the Official Gazette specify in this behalf,As specified by State Government notification
13,"Offences,Penalties and Procedure",200(2),Effect of composition ,Where an offence has been compounded under sub-section (1) the offender if in custody shall be discharged and no further proceedings shall be taken against him in respect of such offence,Offender to be discharged; No further proceedings
13,"Offences,Penalties and Procedure",201(1),Penalty for causing obstruction to free flow of traffic,Whoever keeps a disabled vehicle on any public place in such a manner so as to cause impediment to the free flow of traffic,"Penalty up to Rs. 50 per hour so long as it remains in that position; Provided that the vehicle involved in accidents shall be liable for penalty only from the time of completion of inspection formalities under the law; Provided further that where the vehicle is removed by a Government agency towing charges shall be recovered from the vehicle owner or person in-charge of such vehicle"
13,"Offences,Penalties and Procedure",201(2),Recovery of penalties or towing charges,Penalties or towing charges under this section shall be recovered by such officer or authority as the State Government may by notification in the Official Gazette authorise,Recoverable by authorised officer or authority
13,"Offences,Penalties and Procedure",202(1),Power to arrest without warrant for certain offences,A police officer in uniform may arrest without warrant any person who in his presence commits an offence punishable under Section 184 or Section 185 or Section 197,"Arrest without warrant; Provided that any person so arrested in connection with an offence punishable under Section 185 shall within 2 hours of his arrest be subjected to a medical examination referred to in Sections 203 and 204 by a registered medical practitioner failing which he shall be released from custody"
13,"Offences,Penalties and Procedure",202(2),Arrest for refusal to give name and address ,police officer in uniform may arrest without warrant any person who has committed an offence under this Act if such person refuses to give his name and address,Arrest without warrant
13,"Offences,Penalties and Procedure",202(3),Disposal of vehicle after arrest ,A police officer arresting without warrant the driver of a motor vehicle shall if the circumstances so require take or cause to be taken any steps he may consider proper for the temporary disposal of the vehicle,Not applicable - This is a procedural provision